Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,010_14months_DTI_antsBM,012_10months_DTI_antsBM,012_14months_DTI_antsBM,013_13months_DTI_antsBM,014_13months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,020_14months_DTI_antsBM,021_11months_DTI_antsBM,021_14months_DTI_antsBM,022_11months_DTI_antsBM,022_14months_DTI_antsBM,023_11months_DTI_antsBM,023_14months_DTI_antsBM,025_10months_DTI_antsBM,025_13months_DTI_antsBM,026_11months_DTI_antsBM,027_11months_DTI_antsBM,028_10months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,030_12months_DTI_antsBM,031_10months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_10months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,035_12months_DTI_antsBM,036_12months_DTI_antsBM
-8.96372,0.390892,0.382275,0.348281,0.361602,0.337047,0.373454,0.370511,0.381088,0.36704,0.348836,0.343919,0.335393,0.337627,0.372375,0.310151,0.302813,0.332627,0.333556,0.351237,0.337236,0.301991,0.327032,0.319809,0.341572,0.33707,0.353609,0.337778,0.332137,0.326538,0.346419,0.310608,0.339578,0.331405,0.316547,0.346916,0.322002,0.333954,0.350621
-8.46372,0.388107,0.372909,0.343405,0.350286,0.331312,0.378043,0.367605,0.37307,0.357496,0.339682,0.337061,0.326244,0.326584,0.365395,0.306648,0.29537,0.326636,0.324631,0.344329,0.330203,0.293288,0.313496,0.314625,0.332502,0.333297,0.34341,0.335534,0.320747,0.32008,0.337542,0.308251,0.334181,0.323998,0.30825,0.339885,0.314772,0.327835,0.336979
-7.96372,0.386442,0.368272,0.343933,0.345022,0.332138,0.385243,0.3645,0.36672,0.35058,0.338179,0.338641,0.323218,0.327299,0.369519,0.316993,0.298497,0.328002,0.325584,0.348316,0.330962,0.294278,0.311686,0.31288,0.33082,0.33911,0.343122,0.339328,0.324766,0.318761,0.334457,0.311778,0.332743,0.32481,0.305731,0.335219,0.31742,0.329565,0.331438
-7.46372,0.38748,0.372944,0.350234,0.345592,0.338712,0.389986,0.364752,0.364673,0.351744,0.34337,0.347287,0.329735,0.340177,0.377186,0.331038,0.309173,0.334143,0.333908,0.357788,0.336309,0.305526,0.320363,0.31477,0.336076,0.348979,0.349581,0.34797,0.338364,0.325404,0.339494,0.321455,0.333915,0.333368,0.310991,0.33505,0.328841,0.338025,0.33864
-6.96372,0.394685,0.389744,0.360873,0.35031,0.349009,0.390982,0.372701,0.37154,0.361825,0.352308,0.36185,0.345983,0.360256,0.385544,0.345076,0.325001,0.344235,0.347276,0.368492,0.344288,0.324317,0.337437,0.32434,0.348636,0.360759,0.358879,0.362352,0.35691,0.339425,0.351106,0.337931,0.340476,0.347398,0.324998,0.342032,0.348764,0.351735,0.357794
-6.46372,0.404462,0.412411,0.371435,0.357782,0.359072,0.391382,0.387465,0.386676,0.375865,0.36177,0.375854,0.363414,0.379605,0.393302,0.357979,0.342623,0.354441,0.3624,0.379076,0.353155,0.344218,0.360778,0.340213,0.36414,0.373061,0.367726,0.380119,0.373373,0.357135,0.366308,0.356084,0.353125,0.361487,0.343242,0.354251,0.369969,0.365998,0.381288
-5.96372,0.412972,0.432082,0.377518,0.366374,0.367408,0.393092,0.405269,0.405978,0.384713,0.370931,0.383266,0.374283,0.39382,0.399092,0.367467,0.357689,0.363655,0.375279,0.389474,0.362202,0.359436,0.381276,0.355633,0.377599,0.38495,0.373657,0.396363,0.383572,0.374026,0.380106,0.36896,0.367955,0.371671,0.358171,0.366652,0.385617,0.378821,0.398499
-5.46372,0.419492,0.445067,0.381247,0.373508,0.375151,0.396228,0.417435,0.420123,0.385591,0.378945,0.382621,0.378225,0.401248,0.402005,0.372182,0.366351,0.369662,0.382694,0.397839,0.372696,0.370747,0.394401,0.366236,0.386392,0.39301,0.377052,0.405683,0.388443,0.387147,0.385411,0.371851,0.378774,0.377441,0.363629,0.374609,0.392551,0.386806,0.40453
-4.96372,0.427966,0.448163,0.385865,0.381852,0.381153,0.397913,0.421345,0.426071,0.38329,0.386583,0.378306,0.381509,0.401804,0.403641,0.371326,0.365085,0.372249,0.383191,0.402311,0.384574,0.38129,0.400205,0.371943,0.388663,0.394852,0.379562,0.40854,0.389454,0.395915,0.38003,0.368736,0.379285,0.381505,0.360457,0.375223,0.392096,0.388586,0.401185
-4.46372,0.438995,0.44122,0.39487,0.388653,0.384119,0.395843,0.420652,0.425001,0.379882,0.3946,0.376252,0.391452,0.398033,0.40611,0.366602,0.358118,0.372879,0.380189,0.403124,0.393696,0.389957,0.402019,0.375598,0.387053,0.390528,0.382155,0.403768,0.389911,0.40098,0.366093,0.367091,0.370992,0.384955,0.353266,0.368892,0.389078,0.386736,0.393834
