Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,010_14months_DTI_antsBM,012_10months_DTI_antsBM,012_14months_DTI_antsBM,013_13months_DTI_antsBM,014_13months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,020_14months_DTI_antsBM,021_11months_DTI_antsBM,021_14months_DTI_antsBM,022_11months_DTI_antsBM,022_14months_DTI_antsBM,023_11months_DTI_antsBM,023_14months_DTI_antsBM,025_10months_DTI_antsBM,025_13months_DTI_antsBM,026_11months_DTI_antsBM,027_11months_DTI_antsBM,028_10months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,030_12months_DTI_antsBM,031_10months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_10months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,035_12months_DTI_antsBM,036_12months_DTI_antsBM
-0.978906,0.450899,0.450815,0.460242,0.479563,0.539711,0.532533,0.46506,0.476313,0.43983,0.466151,0.444224,0.390453,0.423612,0.476939,0.496746,0.45772,0.439269,0.434326,0.438192,0.422293,0.412556,0.444551,0.378383,0.383221,0.44881,0.425159,0.439788,0.428833,0.39395,0.460335,0.437421,0.448441,0.454255,0.423921,0.466703,0.451178,0.458685,0.477065
-0.478906,0.42367,0.431305,0.436291,0.448555,0.512956,0.506592,0.443901,0.45136,0.421396,0.436827,0.417294,0.37612,0.406322,0.450426,0.479335,0.440516,0.420612,0.408554,0.414541,0.391616,0.390019,0.418916,0.359138,0.369953,0.421297,0.401778,0.413428,0.403387,0.388289,0.435451,0.423752,0.42329,0.435904,0.396065,0.438916,0.42588,0.426643,0.455141
0.021094,0.401639,0.412247,0.411764,0.422045,0.484416,0.486248,0.420091,0.423934,0.405252,0.408203,0.389419,0.358898,0.387401,0.424518,0.461348,0.426087,0.396252,0.38843,0.392148,0.366498,0.369963,0.3954,0.341447,0.353591,0.39839,0.382044,0.383874,0.382567,0.378474,0.414677,0.404754,0.402512,0.417946,0.370399,0.414471,0.39854,0.399488,0.428045
0.521094,0.386565,0.393906,0.388619,0.403847,0.459998,0.470176,0.400078,0.400693,0.388592,0.383125,0.368348,0.345939,0.371703,0.40551,0.442678,0.411759,0.369174,0.371582,0.371276,0.353055,0.353165,0.374547,0.326604,0.337515,0.379595,0.367503,0.358922,0.369326,0.362002,0.402275,0.381942,0.385488,0.400528,0.34795,0.390066,0.372628,0.382303,0.403497
1.02109,0.374827,0.379385,0.373015,0.392938,0.441425,0.459064,0.387522,0.386333,0.373628,0.365497,0.356045,0.338475,0.36324,0.397147,0.429742,0.397915,0.34902,0.357125,0.356223,0.345907,0.342347,0.356612,0.315985,0.327045,0.36497,0.358337,0.343118,0.359877,0.346249,0.398649,0.362963,0.371422,0.385995,0.33022,0.370096,0.353187,0.372249,0.387432
1.52109,0.363387,0.368021,0.364188,0.386027,0.422676,0.447615,0.376648,0.375443,0.35923,0.350299,0.344635,0.335835,0.359467,0.396033,0.422328,0.385143,0.335915,0.347236,0.343711,0.3398,0.33371,0.339417,0.306371,0.319695,0.353144,0.34979,0.329936,0.34957,0.335165,0.394718,0.346441,0.356826,0.374178,0.31265,0.354218,0.337487,0.360823,0.372565
2.02109,0.355656,0.362542,0.363783,0.385145,0.402182,0.434153,0.364213,0.370778,0.342447,0.339315,0.331354,0.340654,0.362086,0.404391,0.422611,0.378685,0.331169,0.345815,0.335811,0.338696,0.32444,0.322898,0.296388,0.315946,0.345841,0.340558,0.317917,0.338368,0.331496,0.386144,0.333233,0.343726,0.367644,0.29647,0.344523,0.326192,0.346305,0.356735
2.52109,0.352698,0.363629,0.364789,0.390077,0.380665,0.417163,0.34707,0.369659,0.32391,0.333439,0.31581,0.347968,0.365341,0.416436,0.424376,0.377878,0.330441,0.350838,0.335026,0.342626,0.312957,0.307089,0.28566,0.31336,0.341574,0.328822,0.306953,0.327929,0.332868,0.37039,0.323413,0.332301,0.363515,0.282368,0.338773,0.316281,0.332447,0.339707
3.02109,0.350921,0.365412,0.357111,0.394511,0.35655,0.394467,0.325265,0.364155,0.304222,0.324891,0.297059,0.349601,0.36203,0.418649,0.417379,0.374023,0.325098,0.34812,0.335012,0.343853,0.295845,0.291486,0.272613,0.307375,0.334669,0.312527,0.294288,0.316215,0.330494,0.349285,0.312151,0.318586,0.354666,0.26989,0.329128,0.30294,0.320991,0.321197
3.52109,0.342464,0.362779,0.33681,0.391259,0.331108,0.369665,0.301312,0.348415,0.2831,0.308128,0.277575,0.338446,0.348562,0.404671,0.398146,0.358849,0.312484,0.328454,0.327426,0.333437,0.275262,0.274772,0.257008,0.295395,0.321426,0.293315,0.278399,0.299147,0.318614,0.326872,0.296648,0.299354,0.337119,0.257471,0.314015,0.283708,0.310898,0.301846
