Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,012_10months_DTI_antsBM,013_13months_DTI_antsBM,014_13months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,021_11months_DTI_antsBM,022_11months_DTI_antsBM,023_11months_DTI_antsBM,025_10months_DTI_antsBM,026_11months_DTI_antsBM,027_11months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,030_12months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,035_12months_DTI_antsBM,036_12months_DTI_antsBM,Atlas
-6.96372,0.486811,0.479504,0.43932,0.443102,0.411243,0.464534,0.444962,0.432152,0.443239,0.416646,0.443149,0.464189,0.416714,0.421899,0.449009,0.398254,0.393133,0.411751,0.438695,0.442477,0.417282,0.427178,0.412868,0.415246,0.421026,0.432244,0.423108,0.433824,0.257261
-6.46372,0.499321,0.499307,0.449882,0.448507,0.41879,0.476938,0.459431,0.443697,0.455096,0.435132,0.460543,0.471972,0.429501,0.432064,0.461654,0.419618,0.406399,0.430055,0.450692,0.459563,0.433828,0.444098,0.424226,0.428021,0.434772,0.451118,0.437018,0.460511,0.278373
-5.96372,0.509867,0.513616,0.455413,0.455667,0.426165,0.492191,0.462763,0.456342,0.461855,0.447517,0.473693,0.480066,0.439719,0.440336,0.473565,0.436226,0.418698,0.446831,0.458142,0.46857,0.448665,0.457958,0.436151,0.435475,0.446047,0.466372,0.44925,0.479372,0.302997
-5.46372,0.518133,0.522084,0.458901,0.463472,0.4356,0.501013,0.456974,0.467393,0.463427,0.451884,0.481466,0.487125,0.445424,0.444431,0.48304,0.447634,0.426813,0.458109,0.46042,0.470804,0.461356,0.46081,0.44428,0.43842,0.451794,0.473463,0.457434,0.48586,0.327044
-4.96372,0.52821,0.523705,0.461853,0.474502,0.444576,0.501657,0.447869,0.476615,0.463435,0.454134,0.482214,0.49134,0.444369,0.44392,0.485536,0.456233,0.430752,0.462036,0.459201,0.468208,0.470963,0.45079,0.444263,0.442879,0.450796,0.473317,0.458728,0.48311,0.348254
-4.46372,0.538839,0.51655,0.46749,0.479382,0.449468,0.497533,0.436447,0.481166,0.463926,0.462695,0.475729,0.490723,0.436692,0.440072,0.479269,0.461298,0.433207,0.458458,0.45617,0.46316,0.474996,0.43009,0.435961,0.450006,0.442985,0.468173,0.453532,0.476567,0.365397
-3.96372,0.540338,0.499069,0.473947,0.46984,0.44695,0.490597,0.426304,0.480306,0.45772,0.477168,0.463654,0.484878,0.423743,0.432828,0.467264,0.459277,0.434674,0.449079,0.445203,0.450507,0.471452,0.405733,0.424054,0.45337,0.427277,0.460479,0.443448,0.465079,0.379083
-3.46372,0.531244,0.475748,0.47574,0.44133,0.435475,0.48282,0.417037,0.473969,0.436623,0.488383,0.451632,0.469073,0.407569,0.422424,0.452476,0.444738,0.434986,0.43359,0.423524,0.424593,0.460657,0.381588,0.414709,0.449467,0.402977,0.449245,0.432397,0.445236,0.387579
-2.96372,0.515535,0.452458,0.467381,0.399454,0.416688,0.471151,0.411339,0.459335,0.404594,0.487248,0.441661,0.44605,0.393593,0.408837,0.438127,0.418806,0.429915,0.413512,0.393583,0.392275,0.443562,0.359046,0.412308,0.438202,0.375084,0.433197,0.421256,0.417146,0.390791
-2.46372,0.499705,0.434742,0.446033,0.362018,0.396366,0.455633,0.409714,0.437794,0.373798,0.472462,0.430511,0.422281,0.389432,0.395592,0.424827,0.392376,0.419775,0.393685,0.363703,0.366701,0.422671,0.338903,0.415265,0.42166,0.350678,0.414852,0.409807,0.385955,0.388446
