Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,012_10months_DTI_antsBM,013_13months_DTI_antsBM,014_13months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,021_11months_DTI_antsBM,022_11months_DTI_antsBM,023_11months_DTI_antsBM,025_10months_DTI_antsBM,026_11months_DTI_antsBM,027_11months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,030_12months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,035_12months_DTI_antsBM,036_12months_DTI_antsBM,Atlas
-6.31114,0.445865,0.412395,0.374454,0.399928,0.384226,0.388423,0.390857,0.404658,0.377655,0.345019,0.364455,0.413078,0.354308,0.371536,0.378251,0.329032,0.323169,0.351619,0.354874,0.366957,0.354129,0.379773,0.382125,0.367031,0.385708,0.367075,0.358811,0.404218,0.221208
-5.81114,0.45012,0.421975,0.382838,0.398603,0.392862,0.394044,0.387738,0.409313,0.383334,0.349577,0.370699,0.418913,0.360893,0.37575,0.384903,0.339027,0.333721,0.357688,0.358182,0.373029,0.356664,0.384745,0.383678,0.373992,0.390879,0.370984,0.364564,0.404876,0.223461
-5.31114,0.455008,0.443076,0.396778,0.4007,0.406713,0.403274,0.394621,0.418254,0.39467,0.364792,0.38739,0.429017,0.37117,0.387387,0.398447,0.355862,0.351992,0.368753,0.366361,0.386722,0.367234,0.3979,0.392342,0.386013,0.404254,0.385392,0.376996,0.414284,0.233704
-4.81114,0.46317,0.465312,0.411006,0.403224,0.417711,0.41455,0.406495,0.430873,0.408307,0.384851,0.407453,0.440136,0.383061,0.404377,0.414013,0.377676,0.372952,0.384245,0.379649,0.404632,0.385094,0.414628,0.40772,0.401767,0.420341,0.407374,0.39212,0.429832,0.250393
-4.31114,0.475805,0.478876,0.421526,0.40516,0.421875,0.427125,0.418123,0.445314,0.420455,0.402884,0.422705,0.451408,0.395444,0.420391,0.425246,0.400234,0.390252,0.400232,0.396421,0.421355,0.404956,0.430449,0.425033,0.417793,0.433201,0.432545,0.406176,0.446091,0.271019
-3.81114,0.489687,0.481142,0.425088,0.406967,0.423482,0.440651,0.425035,0.459996,0.429788,0.417532,0.42921,0.462605,0.406982,0.429045,0.431949,0.420352,0.401507,0.410995,0.410588,0.430501,0.422359,0.440418,0.438092,0.429938,0.439797,0.456011,0.417215,0.457436,0.291587
-3.31114,0.499708,0.481462,0.42318,0.409691,0.429269,0.451529,0.427781,0.472075,0.436557,0.431041,0.428937,0.471979,0.413267,0.430546,0.435414,0.433783,0.408623,0.414503,0.415549,0.429458,0.433148,0.441844,0.442935,0.435089,0.441665,0.469607,0.425268,0.461086,0.308778
-2.81114,0.500964,0.486425,0.417013,0.411057,0.43678,0.455519,0.428302,0.479298,0.438331,0.443921,0.425214,0.476697,0.412911,0.428908,0.435639,0.437519,0.412059,0.411079,0.408668,0.419532,0.435692,0.430374,0.439033,0.434084,0.441097,0.469438,0.430556,0.455629,0.321886
-2.31114,0.490852,0.487097,0.411539,0.401456,0.435228,0.451762,0.427296,0.474198,0.429589,0.448817,0.423935,0.471475,0.407277,0.428973,0.430623,0.430617,0.410306,0.40055,0.391734,0.404965,0.430867,0.40924,0.428599,0.428295,0.43733,0.457173,0.430152,0.44198,0.330847
-1.81114,0.471394,0.471308,0.408102,0.374218,0.416278,0.442102,0.426645,0.455708,0.407421,0.440266,0.426711,0.453358,0.398494,0.425739,0.416017,0.416238,0.401077,0.384114,0.371805,0.387588,0.419635,0.384705,0.413792,0.416458,0.427313,0.436271,0.421722,0.421313,0.336832
-1.31114,0.448135,0.437169,0.403806,0.334919,0.385007,0.430699,0.423863,0.42973,0.376524,0.41686,0.430001,0.424104,0.388718,0.412686,0.392001,0.399803,0.385048,0.365478,0.35458,0.36676,0.401867,0.362902,0.398266,0.397786,0.409676,0.413528,0.406271,0.39675,0.339732
-0.811136,0.427436,0.401382,0.39624,0.300264,0.356186,0.419997,0.419126,0.406746,0.34823,0.389782,0.429076,0.395476,0.378931,0.393184,0.36644,0.385532,0.368436,0.349934,0.342312,0.345603,0.381669,0.348537,0.386257,0.375612,0.390064,0.394117,0.390027,0.375586,0.33963
-0.311136,0.406001,0.369847,0.376368,0.276191,0.335684,0.406982,0.409629,0.392704,0.326402,0.361503,0.410445,0.364712,0.367672,0.364273,0.337381,0.37187,0.351313,0.339552,0.331172,0.320689,0.3538,0.336456,0.378343,0.345729,0.365625,0.373843,0.372584,0.353749,0.337725
0.188864,0.385212,0.355784,0.34655,0.273899,0.33132,0.389384,0.394626,0.389791,0.31823,0.342094,0.370055,0.341668,0.355214,0.34081,0.316209,0.360178,0.336356,0.335859,0.317707,0.303602,0.324367,0.324078,0.374236,0.319547,0.343568,0.357972,0.356532,0.33675,0.335661
0.688864,0.368954,0.355077,0.320719,0.287253,0.337867,0.369151,0.378551,0.386869,0.319138,0.335198,0.331323,0.331369,0.343751,0.330943,0.308561,0.353977,0.324872,0.334372,0.306623,0.303445,0.305846,0.310733,0.370992,0.305768,0.333131,0.348808,0.343358,0.325023,0.335588
1.18886,0.362152,0.358386,0.310985,0.304398,0.347745,0.353978,0.366382,0.378643,0.320977,0.33612,0.318934,0.330686,0.335415,0.329452,0.310099,0.353314,0.318057,0.333405,0.304215,0.312673,0.30146,0.299865,0.366251,0.304325,0.336441,0.344293,0.335285,0.316337,0.338174
1.68886,0.358703,0.361457,0.308456,0.323369,0.358308,0.339854,0.35416,0.365192,0.322617,0.338845,0.317906,0.331788,0.324283,0.330115,0.312249,0.352947,0.312105,0.331739,0.307991,0.323662,0.301605,0.289759,0.357713,0.306383,0.343681,0.337438,0.32938,0.306533,0.341738
2.18886,0.361123,0.364021,0.314931,0.336385,0.366941,0.333931,0.347171,0.352226,0.328038,0.343048,0.326397,0.334868,0.314708,0.33263,0.311923,0.35272,0.309694,0.330887,0.317623,0.332497,0.306837,0.286573,0.349061,0.310862,0.350851,0.330781,0.328525,0.299726,0.345369
2.68886,0.365495,0.366102,0.32548,0.340046,0.37165,0.337357,0.344237,0.3451,0.337767,0.346636,0.329165,0.336382,0.309103,0.333948,0.308248,0.351202,0.309507,0.330877,0.325236,0.33844,0.313834,0.2901,0.343356,0.31479,0.352575,0.327674,0.330404,0.298091,0.347013
3.18886,0.364963,0.365357,0.333764,0.335615,0.371072,0.344169,0.340935,0.340421,0.345635,0.346416,0.321242,0.334509,0.306972,0.330673,0.303109,0.346871,0.308899,0.328514,0.324749,0.342472,0.316741,0.295751,0.340305,0.315815,0.346546,0.328267,0.328855,0.299856,0.344596
3.68886,0.357226,0.359717,0.336026,0.327378,0.364574,0.346791,0.333061,0.332859,0.344774,0.338646,0.309888,0.330426,0.305636,0.320664,0.297619,0.338204,0.305011,0.321359,0.316073,0.342436,0.311957,0.296892,0.337115,0.31056,0.335385,0.327255,0.319472,0.300275,0.337442
4.18886,0.345778,0.347781,0.330378,0.318513,0.351471,0.340483,0.320253,0.319133,0.332811,0.322762,0.301411,0.323389,0.301299,0.307268,0.290816,0.326041,0.296329,0.309283,0.303489,0.335892,0.300057,0.289508,0.330687,0.298122,0.320741,0.319795,0.302966,0.294744,0.325957
4.68886,0.332826,0.331511,0.318788,0.309382,0.333955,0.325372,0.304607,0.301282,0.316301,0.304999,0.297019,0.314002,0.292682,0.293301,0.279767,0.311741,0.281822,0.29536,0.290092,0.321409,0.283337,0.276083,0.318952,0.281053,0.304034,0.305933,0.283547,0.282943,0.311627
5.18886,0.321367,0.315016,0.307202,0.300759,0.316381,0.306063,0.290026,0.283947,0.304348,0.29476,0.292871,0.302199,0.28264,0.278466,0.266625,0.296574,0.264153,0.284456,0.277514,0.302528,0.267336,0.260854,0.304456,0.263585,0.286957,0.289772,0.268103,0.269739,0.296689
5.68886,0.311217,0.300056,0.298178,0.294308,0.305088,0.288086,0.279572,0.269117,0.299118,0.295152,0.286275,0.288016,0.272454,0.26313,0.255313,0.281065,0.24867,0.277605,0.267205,0.283176,0.255138,0.248779,0.289999,0.251296,0.271567,0.277571,0.260069,0.261367,0.282924
6.18886,0.301505,0.288793,0.291478,0.290169,0.300657,0.275998,0.273313,0.257635,0.298324,0.301351,0.277885,0.274991,0.264134,0.248486,0.24789,0.266874,0.238392,0.274901,0.259246,0.264119,0.246105,0.242617,0.277295,0.244722,0.258754,0.268863,0.259458,0.262049,0.271663
6.68886,0.295558,0.282436,0.283678,0.287638,0.299123,0.270777,0.273062,0.248149,0.297697,0.304713,0.270819,0.267209,0.257762,0.238869,0.244488,0.256999,0.235363,0.274143,0.252071,0.247812,0.23892,0.243616,0.266248,0.242571,0.246849,0.261923,0.264342,0.272992,0.263194
7.18886,0.293753,0.281072,0.274186,0.283119,0.297142,0.271067,0.277697,0.240064,0.29409,0.30005,0.268176,0.264969,0.252836,0.233388,0.243178,0.253462,0.237289,0.273946,0.244539,0.235065,0.231652,0.249833,0.255002,0.243062,0.234524,0.255425,0.271017,0.292458,0.257034
7.68886,0.294095,0.282679,0.267004,0.273977,0.291241,0.271948,0.284429,0.234147,0.286481,0.289004,0.269023,0.265092,0.249229,0.227901,0.244501,0.255628,0.239659,0.273321,0.235941,0.226221,0.224497,0.256781,0.244535,0.243255,0.21996,0.248104,0.277549,0.31368,0.252402
8.18886,0.292337,0.281925,0.263049,0.260963,0.282521,0.267494,0.288661,0.229316,0.275378,0.275732,0.268777,0.262662,0.243747,0.218953,0.246815,0.258342,0.239339,0.269622,0.227203,0.220224,0.218031,0.259781,0.236035,0.240988,0.20287,0.239438,0.281023,0.326994,0.247876
8.68886,0.285859,0.274043,0.260319,0.24713,0.272337,0.256818,0.284319,0.223784,0.261417,0.261618,0.263105,0.255289,0.234966,0.205366,0.245901,0.257559,0.233229,0.260633,0.217876,0.213609,0.212431,0.25551,0.229154,0.233658,0.185532,0.228521,0.276868,0.324109,0.242134
9.18886,0.274475,0.257655,0.254976,0.236776,0.260984,0.243371,0.269658,0.21565,0.245638,0.245681,0.248898,0.243981,0.223233,0.19051,0.237929,0.251033,0.221101,0.245604,0.206433,0.203854,0.20687,0.245466,0.220645,0.220286,0.170225,0.214593,0.262753,0.303671,0.233927
9.68886,0.258325,0.236528,0.244112,0.230617,0.250109,0.231374,0.248338,0.204306,0.229681,0.227864,0.227393,0.231113,0.209886,0.177944,0.22317,0.238389,0.205693,0.226172,0.193475,0.190616,0.199629,0.234286,0.208772,0.20308,0.158821,0.198197,0.24034,0.274229,0.223485
10.1889,0.237776,0.216934,0.228455,0.226447,0.24004,0.220925,0.226164,0.191135,0.215249,0.209348,0.202535,0.218531,0.196389,0.169283,0.205975,0.221495,0.189322,0.205141,0.182416,0.174956,0.192029,0.225634,0.195707,0.185216,0.152382,0.180932,0.215021,0.246455,0.211478
10.6889,0.214158,0.202826,0.210003,0.221504,0.229711,0.209995,0.207705,0.178771,0.204069,0.193201,0.179014,0.206493,0.184193,0.165012,0.190303,0.202888,0.173571,0.185301,0.176695,0.15969,0.185858,0.221028,0.184959,0.169602,0.150866,0.165319,0.192344,0.226801,0.199109
11.1889,0.189856,0.193812,0.191531,0.214205,0.217804,0.196311,0.194779,0.169163,0.196306,0.182022,0.161411,0.194769,0.174318,0.164011,0.178236,0.185271,0.159266,0.169058,0.1757,0.148465,0.181666,0.218851,0.178362,0.15809,0.152881,0.153912,0.175411,0.217133,0.187637
11.6889,0.170949,0.186688,0.178749,0.207113,0.206486,0.180892,0.187796,0.162845,0.19113,0.176424,0.1528,0.184883,0.168544,0.164183,0.170132,0.172199,0.147932,0.159107,0.175688,0.144702,0.178332,0.21547,0.175192,0.1518,0.155757,0.147898,0.166141,0.216828,0.17877
