Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,012_10months_DTI_antsBM,013_13months_DTI_antsBM,014_13months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,021_11months_DTI_antsBM,022_11months_DTI_antsBM,023_11months_DTI_antsBM,025_10months_DTI_antsBM,026_11months_DTI_antsBM,027_11months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,030_12months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,035_12months_DTI_antsBM,036_12months_DTI_antsBM,Atlas
-11.528,0.230693,0.191932,0.227139,0.209332,0.193487,0.185093,0.206283,0.212096,0.193483,0.208191,0.219282,0.22337,0.207401,0.184235,0.198941,0.195616,0.220421,0.213316,0.191515,0.200778,0.185785,0.171252,0.188878,0.186887,0.163346,0.181961,0.194547,0.185921,0.227741
-11.028,0.243439,0.203498,0.240978,0.21788,0.209763,0.193335,0.218724,0.225371,0.204613,0.216598,0.231206,0.229771,0.223303,0.196135,0.203776,0.207278,0.23156,0.22311,0.202913,0.213679,0.192757,0.179627,0.199027,0.19483,0.173834,0.19101,0.207713,0.195885,0.243841
-10.528,0.258329,0.218067,0.25631,0.228964,0.228679,0.20332,0.23204,0.240682,0.217692,0.228153,0.245405,0.236491,0.240278,0.209316,0.210623,0.220533,0.245207,0.234788,0.21499,0.227453,0.201696,0.190595,0.211391,0.204457,0.186217,0.20268,0.222572,0.208329,0.260928
-10.028,0.271892,0.232334,0.268397,0.238786,0.245756,0.211849,0.244429,0.253807,0.2295,0.240005,0.258105,0.241454,0.25412,0.220864,0.217912,0.232663,0.258134,0.245773,0.225316,0.238856,0.211152,0.202044,0.222801,0.213784,0.197883,0.214495,0.235661,0.220793,0.277213
-9.52798,0.281272,0.24383,0.273874,0.244262,0.257046,0.216821,0.254019,0.260846,0.237874,0.249045,0.266353,0.244022,0.262063,0.228167,0.22391,0.241313,0.266617,0.253486,0.232456,0.245275,0.218823,0.211835,0.230667,0.221863,0.206576,0.223781,0.244184,0.230861,0.29135
-9.02798,0.285788,0.252706,0.273488,0.245658,0.262398,0.219178,0.2603,0.26078,0.243578,0.254334,0.269679,0.245795,0.26431,0.23107,0.228146,0.24631,0.269381,0.258043,0.23671,0.246383,0.223315,0.219779,0.235706,0.228514,0.212136,0.22926,0.247708,0.238004,0.302779
-8.52798,0.287618,0.261001,0.271123,0.24656,0.265046,0.222186,0.2643,0.256557,0.249911,0.257499,0.270053,0.250113,0.263199,0.231895,0.232483,0.250026,0.269131,0.261494,0.240066,0.244185,0.225832,0.227728,0.241316,0.234085,0.216378,0.232246,0.248575,0.243639,0.310813
-8.02798,0.291751,0.273565,0.272727,0.253019,0.271372,0.230531,0.270084,0.254838,0.261649,0.263506,0.272798,0.260864,0.2628,0.235469,0.241541,0.257109,0.271661,0.268052,0.246981,0.243817,0.230846,0.239105,0.252446,0.241336,0.223548,0.237414,0.252184,0.251964,0.316129
-7.52798,0.303143,0.29526,0.282847,0.270253,0.286642,0.247434,0.2819,0.261178,0.282463,0.276405,0.283249,0.279659,0.26661,0.246675,0.259673,0.271599,0.28205,0.281659,0.262449,0.250022,0.242981,0.255877,0.272721,0.253479,0.237717,0.249641,0.263681,0.26703,0.319796
-7.02798,0.325098,0.328385,0.303218,0.299863,0.31297,0.274406,0.301195,0.276993,0.313392,0.297374,0.303903,0.305965,0.27707,0.267951,0.288425,0.295661,0.302471,0.304074,0.288542,0.264833,0.264672,0.278038,0.302775,0.272847,0.260465,0.271652,0.286076,0.291639,0.323759
