Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,010_14months_DTI_antsBM,012_10months_DTI_antsBM,012_14months_DTI_antsBM,013_13months_DTI_antsBM,014_13months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,020_14months_DTI_antsBM,021_11months_DTI_antsBM,021_14months_DTI_antsBM,022_11months_DTI_antsBM,022_14months_DTI_antsBM,023_11months_DTI_antsBM,023_14months_DTI_antsBM,025_10months_DTI_antsBM,025_13months_DTI_antsBM,026_11months_DTI_antsBM,027_11months_DTI_antsBM,028_10months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,030_12months_DTI_antsBM,031_10months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_10months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,035_12months_DTI_antsBM,036_12months_DTI_antsBM
-21.3123,0.324032,0.349521,0.297849,0.33795,0.309399,0.327034,0.344977,0.358724,0.341656,0.313604,0.323666,0.288073,0.307546,0.324369,0.285809,0.314094,0.297672,0.292521,0.316864,0.304337,0.29316,0.320468,0.257689,0.292761,0.317954,0.294499,0.314251,0.287968,0.279999,0.323022,0.308319,0.318404,0.3162,0.310705,0.332253,0.295435,0.29896,0.325706
-20.8123,0.399176,0.415146,0.362379,0.381155,0.373719,0.397491,0.412564,0.425907,0.387905,0.385477,0.386134,0.351186,0.374999,0.393234,0.353603,0.372801,0.359279,0.354283,0.375884,0.358884,0.350753,0.378734,0.317463,0.351812,0.374045,0.358481,0.375205,0.342462,0.341565,0.382896,0.370706,0.384337,0.383182,0.366266,0.397381,0.34952,0.363142,0.384294
-20.3123,0.458939,0.465401,0.413416,0.406949,0.421752,0.446148,0.462214,0.472413,0.417901,0.435207,0.430577,0.396203,0.426163,0.447584,0.407547,0.416591,0.404089,0.400996,0.418115,0.397687,0.389922,0.417686,0.363783,0.393212,0.410991,0.406325,0.420905,0.38426,0.389495,0.426504,0.414409,0.431548,0.431547,0.402636,0.439923,0.388545,0.410446,0.429081
-19.8123,0.493827,0.494966,0.442529,0.416831,0.448741,0.468641,0.488541,0.496799,0.430653,0.459561,0.453448,0.418729,0.452743,0.482162,0.440054,0.443052,0.425442,0.426011,0.439566,0.418522,0.405772,0.433977,0.388928,0.412784,0.427206,0.431426,0.445476,0.410016,0.418174,0.451255,0.434962,0.455136,0.457937,0.418303,0.457897,0.409385,0.434775,0.456519
-19.3123,0.505717,0.503764,0.451037,0.417452,0.458285,0.470212,0.492602,0.503104,0.431291,0.463739,0.456467,0.422446,0.45382,0.49554,0.450018,0.45139,0.427657,0.43091,0.442963,0.423273,0.400569,0.431941,0.392772,0.413305,0.427034,0.43361,0.449778,0.419811,0.426173,0.458362,0.435074,0.457199,0.464094,0.419053,0.457398,0.414736,0.438153,0.465784
-18.8123,0.50235,0.4969,0.445434,0.412532,0.45585,0.459987,0.479832,0.495749,0.422659,0.455793,0.444388,0.415298,0.435516,0.489187,0.440786,0.44209,0.422352,0.422553,0.434366,0.414887,0.383705,0.419217,0.38177,0.401269,0.417953,0.419747,0.438824,0.415897,0.416559,0.451499,0.422937,0.445323,0.455792,0.411519,0.446445,0.410216,0.426955,0.458387
-18.3123,0.490042,0.480156,0.431913,0.402919,0.444728,0.445358,0.458083,0.478678,0.408324,0.442097,0.424325,0.403779,0.407332,0.469488,0.42068,0.4191,0.415732,0.407732,0.420513,0.397792,0.364424,0.402622,0.364901,0.383596,0.404529,0.39852,0.419682,0.403117,0.397555,0.436241,0.407845,0.428244,0.439429,0.39938,0.430223,0.401545,0.409537,0.440969
-17.8123,0.472824,0.458199,0.41577,0.391711,0.428104,0.430471,0.434345,0.456611,0.393751,0.425902,0.403143,0.390829,0.378951,0.446127,0.398679,0.392649,0.408482,0.391237,0.406265,0.378271,0.348967,0.387511,0.349152,0.366102,0.389505,0.377155,0.39837,0.387622,0.378871,0.417396,0.394766,0.411861,0.42026,0.38526,0.412302,0.392054,0.391158,0.421011
-17.3123,0.455631,0.437068,0.401252,0.383962,0.411,0.418184,0.415015,0.435514,0.382952,0.410668,0.38685,0.378627,0.358192,0.427883,0.381697,0.372742,0.399893,0.376705,0.394301,0.362661,0.340431,0.37607,0.338525,0.353004,0.376902,0.360531,0.379707,0.375872,0.366122,0.401301,0.384232,0.399649,0.403018,0.372392,0.39661,0.384579,0.375121,0.405381
-16.8123,0.443346,0.420843,0.391705,0.381128,0.398566,0.410498,0.4039,0.420914,0.378189,0.398811,0.377506,0.369011,0.347808,0.418779,0.373353,0.363192,0.390673,0.366647,0.385848,0.354416,0.337721,0.369333,0.333784,0.346343,0.368873,0.350455,0.366688,0.370642,0.360389,0.392054,0.375698,0.392299,0.39019,0.364143,0.385806,0.380559,0.364208,0.397682
