Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,012_10months_DTI_antsBM,013_13months_DTI_antsBM,014_13months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,021_11months_DTI_antsBM,022_11months_DTI_antsBM,023_11months_DTI_antsBM,025_10months_DTI_antsBM,026_11months_DTI_antsBM,027_11months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,030_12months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,035_12months_DTI_antsBM,036_12months_DTI_antsBM,Atlas
-21.2101,0.254899,0.263124,0.24082,0.244367,0.287989,0.271133,0.244314,0.260424,0.222112,0.212043,0.232636,0.223928,0.210725,0.19678,0.234892,0.24611,0.19813,0.26727,0.187063,0.24895,0.216137,0.218963,0.237385,0.209451,0.265761,0.223533,0.222514,0.262,0.25045
-20.7101,0.242754,0.24953,0.224766,0.232904,0.266467,0.248842,0.230181,0.247706,0.209719,0.200997,0.221398,0.21461,0.196639,0.185795,0.221003,0.233367,0.189974,0.252999,0.179861,0.239571,0.205397,0.204108,0.224522,0.197499,0.248953,0.213843,0.211715,0.247629,0.238892
-20.2101,0.231731,0.236295,0.209423,0.22301,0.251948,0.228967,0.216487,0.235204,0.20095,0.190986,0.210462,0.206478,0.18544,0.177122,0.208498,0.22047,0.185035,0.23996,0.174527,0.230615,0.195266,0.194422,0.212083,0.186726,0.231552,0.204104,0.205295,0.234845,0.228908
-19.7101,0.222241,0.224616,0.196928,0.214599,0.244647,0.21523,0.205169,0.223939,0.193452,0.182215,0.201174,0.19947,0.17756,0.170552,0.198961,0.2088,0.182939,0.229481,0.169427,0.224386,0.186152,0.190498,0.201086,0.177912,0.21637,0.196015,0.202833,0.224333,0.221828
-19.2101,0.215022,0.215983,0.189299,0.207478,0.242744,0.208091,0.197094,0.214792,0.186714,0.175502,0.194676,0.193972,0.172806,0.165073,0.192844,0.199668,0.182474,0.22169,0.164749,0.222839,0.179234,0.190431,0.193994,0.171719,0.205019,0.191409,0.202325,0.217452,0.218153
-18.7101,0.210239,0.211227,0.187034,0.202347,0.243458,0.205119,0.192847,0.207882,0.181022,0.171541,0.191301,0.190574,0.169919,0.160237,0.188947,0.193533,0.182481,0.215882,0.162941,0.225971,0.175291,0.190801,0.191997,0.168626,0.198007,0.190414,0.201333,0.213988,0.218107
-18.2101,0.208642,0.212192,0.189553,0.200438,0.244736,0.204208,0.192578,0.203216,0.177985,0.171627,0.191082,0.190401,0.168899,0.157028,0.18735,0.190837,0.183024,0.21246,0.165572,0.232903,0.175284,0.189916,0.194669,0.169511,0.195607,0.192215,0.19975,0.213585,0.221822
-17.7101,0.210073,0.219361,0.195166,0.202506,0.246354,0.204532,0.196351,0.20004,0.179437,0.176083,0.192874,0.193361,0.169987,0.156491,0.18956,0.190962,0.184507,0.212374,0.172091,0.240926,0.178715,0.188196,0.200006,0.174574,0.196277,0.196101,0.198404,0.215665,0.228659
-17.2101,0.214794,0.231135,0.202736,0.209177,0.247704,0.206941,0.204266,0.198447,0.185925,0.184554,0.196453,0.199282,0.173264,0.160072,0.197276,0.193966,0.187704,0.216748,0.181215,0.247964,0.184837,0.187649,0.206854,0.183412,0.199206,0.201906,0.19849,0.22096,0.238153
-16.7101,0.223387,0.244225,0.211812,0.220275,0.24834,0.212361,0.216292,0.198835,0.196681,0.195964,0.201972,0.207742,0.178431,0.168455,0.210255,0.199309,0.192633,0.22549,0.191733,0.252982,0.192606,0.189543,0.215877,0.194525,0.204044,0.208922,0.199955,0.23023,0.249597
-16.2101,0.235359,0.255181,0.222347,0.234495,0.249297,0.22131,0.231441,0.201247,0.209055,0.208283,0.208805,0.217527,0.184389,0.18011,0.225503,0.206331,0.198207,0.236928,0.203466,0.25529,0.200146,0.193796,0.226894,0.205821,0.210728,0.215541,0.201889,0.241054,0.261689
-15.7101,0.249926,0.263478,0.233319,0.249552,0.251281,0.233412,0.24823,0.204906,0.220051,0.21986,0.214789,0.227822,0.190284,0.192426,0.2404,0.214279,0.203617,0.249082,0.216822,0.256361,0.207147,0.198678,0.239272,0.216122,0.219723,0.220032,0.204048,0.251226,0.27346
-15.2101,0.264502,0.27068,0.242161,0.262344,0.254932,0.24673,0.2632,0.208371,0.227735,0.229265,0.217818,0.237239,0.195226,0.202272,0.254269,0.221785,0.208473,0.259559,0.230989,0.256702,0.213479,0.202416,0.250739,0.224196,0.22941,0.221991,0.206517,0.256668,0.283303
-14.7101,0.276737,0.277571,0.247844,0.270671,0.259484,0.258211,0.273997,0.210859,0.231404,0.235601,0.217276,0.244914,0.198837,0.208269,0.267305,0.227973,0.212552,0.266447,0.244573,0.25618,0.21864,0.205243,0.258929,0.22989,0.237506,0.222218,0.208633,0.257077,0.289977
-14.2101,0.284885,0.282109,0.25035,0.274318,0.262164,0.263966,0.279472,0.211669,0.231321,0.237632,0.213503,0.250001,0.200174,0.211623,0.278313,0.232131,0.215204,0.26863,0.255993,0.253765,0.222134,0.208772,0.262577,0.232787,0.241322,0.220441,0.208267,0.253346,0.292574
-13.7101,0.287593,0.282361,0.251056,0.274731,0.261199,0.262284,0.280587,0.210329,0.228708,0.234738,0.2084,0.252774,0.198525,0.214221,0.285535,0.234483,0.215783,0.266947,0.263482,0.24907,0.22315,0.214571,0.262154,0.233325,0.239789,0.215794,0.203971,0.246227,0.291125
-13.2101,0.285678,0.278677,0.250907,0.273903,0.258091,0.254571,0.281283,0.207063,0.225491,0.227261,0.202874,0.254361,0.194515,0.216788,0.28864,0.235445,0.213999,0.263099,0.267498,0.24348,0.221913,0.222141,0.259264,0.23311,0.2342,0.207527,0.195338,0.237401,0.286512
-12.7101,0.280839,0.273813,0.250069,0.272881,0.256073,0.244354,0.284239,0.202602,0.223038,0.217869,0.198124,0.256112,0.189973,0.21846,0.289468,0.235712,0.210902,0.259641,0.269716,0.238715,0.219753,0.228497,0.255127,0.23334,0.227187,0.196552,0.184257,0.227141,0.280113
-12.2101,0.275375,0.270821,0.249225,0.272132,0.257776,0.23442,0.291084,0.198647,0.221499,0.209563,0.19658,0.258654,0.187287,0.217585,0.288487,0.235374,0.208188,0.257934,0.272282,0.236295,0.217955,0.230576,0.249496,0.235233,0.22207,0.185565,0.174134,0.216045,0.273225
-11.7101,0.270758,0.270603,0.248837,0.270274,0.262193,0.22595,0.300658,0.196602,0.220515,0.204604,0.19954,0.261127,0.187474,0.214134,0.284989,0.234356,0.207067,0.258353,0.276768,0.237122,0.217572,0.226873,0.241906,0.238858,0.221178,0.177178,0.167822,0.205229,0.266825
-11.2101,0.267499,0.27244,0.250246,0.266888,0.267358,0.219267,0.31126,0.197827,0.22022,0.204192,0.207957,0.262977,0.190507,0.209594,0.279296,0.232614,0.208354,0.261459,0.282319,0.242226,0.2196,0.217822,0.233534,0.244912,0.226136,0.17263,0.167232,0.19625,0.261511
-10.7101,0.264709,0.273629,0.25302,0.260918,0.269956,0.213719,0.321011,0.202144,0.22056,0.20642,0.219429,0.263895,0.194352,0.206777,0.273199,0.230011,0.210875,0.266365,0.286969,0.251339,0.223376,0.205831,0.226879,0.253162,0.236361,0.170838,0.170896,0.189619,0.257309
-10.2101,0.261384,0.272243,0.256012,0.253658,0.270302,0.209265,0.328529,0.208874,0.221194,0.209573,0.230196,0.263769,0.196771,0.209233,0.269465,0.226471,0.21313,0.272159,0.288346,0.26305,0.227774,0.192714,0.224514,0.262304,0.249785,0.170201,0.175885,0.184586,0.253959
-9.71011,0.25754,0.268158,0.258575,0.248646,0.26966,0.205242,0.333619,0.216601,0.2217,0.21244,0.237697,0.26282,0.197035,0.218046,0.269069,0.222919,0.213784,0.277824,0.284919,0.275871,0.231363,0.17953,0.22726,0.270402,0.263132,0.170492,0.179991,0.179635,0.251535
